zone,sample_id,nitrogen,phosphorus,potassium,ph,ec,moisture,temperature,status,imbalance_type,timestamp
A,S_A_426,36.41,21.08,64.3,6.8,137.96,63.42,30.6,Stable,Stable / Optimal,1776949651
E,S_E_987,84.56,11.89,93.1,4.24,302.15,79.17,46.3,Unstable,Acidic Trend,1774930051
B,S_B_207,54.93,-10.39,60.73,5.56,519.34,55.24,29.9,Unstable,Phosphorus Imbalance (Low),1777738051
E,S_E_849,44.55,-18.54,-10.82,5.99,1083.44,55.75,15.1,Unstable,Potassium Imbalance (Low),1775426851
A,S_A_1109,50.91,20.02,51.96,6.7,967.98,43.81,34.9,Stable,Variable Stability,1774490851
E,S_E_473,26.81,48.82,25.17,4.58,-307.66,90.5,29.8,Stable,Phosphorus Imbalance (Low),1776780451
A,S_A_111,50.28,12.36,8.09,6.7,598.72,59.53,19.9,Unstable,Potassium Imbalance (Low),1778083651
C,S_C_675,-7.91,-31.58,-6.38,4.56,-624.1,53.29,33.5,Stable,Acidic Trend,1776053251
E,S_E_1026,-39.08,51.44,123.34,6.0,129.9,82.34,45.0,Unstable,Nitrogen Imbalance (Low),1774789651
B,S_B_1064,52.99,17.37,83.12,7.62,196.12,76.44,26.3,Unstable,Variable Stability,1774652851
C,S_C_149,-24.18,17.88,11.44,4.15,-124.04,12.83,27.3,Unstable,Phosphorus Imbalance (Low),1777946851
B,S_B_835,36.11,16.0,18.62,5.47,332.5,71.59,22.5,Stable,Acidic Trend,1775477251
A,S_A_1173,10.93,24.08,45.1,6.42,420.04,36.38,31.8,Stable,Nitrogen Imbalance (Low),1774260451
D,S_D_169,20.61,17.73,17.14,7.56,1509.8,32.91,20.2,Unstable,Nitrogen Imbalance (Low),1777874851
C,S_C_046,24.02,22.96,-29.0,5.28,1230.44,-34.86,25.8,Unstable,Acidic Trend,1778317651
C,S_C_783,58.05,23.93,38.76,5.25,-217.82,46.24,30.8,Unstable,Nitrogen Imbalance (Low),1775664451
C,S_C_546,21.37,38.38,48.84,4.07,1798.42,-6.25,25.6,Unstable,Nitrogen Imbalance (Low),1776517651
D,S_D_992,39.77,26.15,22.64,5.71,1004.19,15.46,16.2,Unstable,Potassium Imbalance (Low),1774912051
D,S_D_990,49.04,15.08,88.94,6.66,2089.3,71.94,17.4,Unstable,High Salinity Trend,1774919251
D,S_D_012,15.63,36.15,71.06,6.48,1444.24,29.04,20.2,Stable,Stable / Optimal,1778440051
D,S_D_338,6.17,40.81,-16.49,4.48,915.04,62.35,29.4,Unstable,Nitrogen Imbalance (Low),1777266451
B,S_B_947,36.4,3.2,100.97,5.65,416.97,44.76,25.6,Unstable,Phosphorus Imbalance (Low),1775074051
E,S_E_952,23.07,14.83,49.51,5.76,-153.23,48.33,20.8,Unstable,Nitrogen Imbalance (Low),1775056051
B,S_B_269,58.73,18.32,43.68,5.85,372.89,54.4,27.6,Stable,Stable / Optimal,1777514851
A,S_A_438,48.25,17.08,45.91,5.83,523.68,62.44,30.3,Unstable,Nitrogen Imbalance (Low),1776906451
E,S_E_988,5.17,54.14,82.99,4.98,987.64,120.69,16.6,Unstable,Acidic Trend,1774926451
A,S_A_1058,50.47,29.99,66.29,5.55,507.32,58.39,31.6,Stable,Stable / Optimal,1774674451
C,S_C_396,74.78,-5.3,-12.67,4.96,-50.38,46.16,29.3,Unstable,Acidic Trend,1777057651
A,S_A_108,49.33,27.9,68.1,6.11,1071.49,54.9,23.4,Stable,Nitrogen Imbalance (Low),1778094451
C,S_C_1153,93.63,14.49,43.0,6.4,-891.26,60.63,39.7,Stable,Phosphorus Imbalance (Low),1774332451
A,S_A_030,50.98,26.69,68.82,6.54,664.51,47.49,28.7,Stable,Stable / Optimal,1778375251
B,S_B_1033,50.52,22.48,73.72,5.46,234.94,54.88,20.6,Unstable,Acidic Trend,1774764451
A,S_A_890,37.27,34.01,80.65,6.42,457.09,42.61,23.6,Stable,Variable Stability,1775279251
C,S_C_666,36.06,-4.99,38.35,3.5,400.24,-12.85,22.9,Unstable,Acidic Trend,1776085651
B,S_B_431,59.58,19.86,49.81,6.58,605.7,58.82,25.2,Stable,Stable / Optimal,1776931651
A,S_A_752,14.33,24.44,42.53,5.81,170.24,30.88,23.2,Stable,Nitrogen Imbalance (Low),1775776051
B,S_B_1159,46.2,26.75,70.92,6.42,310.47,62.95,38.5,Unstable,Stable / Optimal,1774310851
A,S_A_585,48.19,17.55,57.01,5.97,826.47,59.52,30.9,Stable,Stable / Optimal,1776377251
B,S_B_735,51.48,16.8,71.6,6.5,194.92,52.8,26.9,Stable,Stable / Optimal,1775837251
E,S_E_183,74.58,24.63,86.71,6.16,-1052.21,90.49,28.6,Unstable,Phosphorus Imbalance (Low),1777824451
B,S_B_1151,53.12,19.57,60.27,5.92,667.13,37.46,29.8,Stable,Stable / Optimal,1774339651
E,S_E_806,84.59,79.31,17.4,4.01,214.91,26.0,40.3,Unstable,Phosphorus Imbalance (Low),1775581651
E,S_E_415,47.98,32.17,70.31,5.82,538.12,27.62,34.4,Unstable,Variable Stability,1776989251
D,S_D_247,92.1,19.16,101.42,5.78,1225.85,78.98,23.7,Unstable,Variable Stability,1777594051
E,S_E_319,34.49,51.31,55.81,5.27,685.84,35.35,24.6,Unstable,Variable Stability,1777334851
E,S_E_1149,80.03,26.86,59.54,7.82,1340.76,65.63,28.1,Unstable,Acidic Trend,1774346851
B,S_B_1118,25.11,17.01,48.81,7.1,301.81,42.49,23.2,Unstable,Potassium Imbalance (Low),1774458451
B,S_B_145,57.09,6.05,53.03,7.11,739.74,53.64,29.2,Unstable,Phosphorus Imbalance (Low),1777961251
C,S_C_1042,0.85,-29.26,48.75,5.97,-488.0,8.13,29.9,Unstable,Nitrogen Imbalance (Low),1774732051
D,S_D_1036,60.25,11.71,40.48,5.79,1305.23,100.02,35.3,Unstable,Variable Stability,1774753651
E,S_E_1071,45.85,33.44,43.01,6.71,779.97,35.19,49.3,Stable,Variable Stability,1774627651
A,S_A_970,49.95,2.29,46.78,6.41,455.73,55.52,28.9,Unstable,Acidic Trend,1774991251
A,S_A_180,49.76,29.09,92.07,6.99,381.84,55.64,30.4,Unstable,Variable Stability,1777835251
C,S_C_395,1.16,14.75,31.28,5.22,900.13,23.36,37.0,Unstable,Variable Stability,1777061251
B,S_B_308,28.95,18.26,57.78,5.74,345.22,70.71,25.9,Unstable,Stable / Optimal,1777374451
D,S_D_447,47.13,37.94,93.6,6.16,1368.75,129.85,31.6,Unstable,Acidic Trend,1776874051
B,S_B_939,57.71,22.36,30.41,6.98,402.31,34.4,25.3,Unstable,Potassium Imbalance (Low),1775102851
E,S_E_1029,76.79,41.41,14.64,7.35,451.56,59.2,21.7,Unstable,Potassium Imbalance (Low),1774778851
C,S_C_1088,-12.29,18.6,-45.41,4.8,496.18,-7.05,19.4,Unstable,Acidic Trend,1774566451
D,S_D_937,10.95,-18.24,72.28,7.65,1248.65,60.69,26.6,Unstable,Nitrogen Imbalance (Low),1775110051
E,S_E_487,72.05,-8.08,63.33,6.36,-1664.35,69.28,27.4,Unstable,Phosphorus Imbalance (Low),1776730051
E,S_E_696,77.02,-4.66,64.13,6.41,-97.48,94.35,23.9,Unstable,Stable / Optimal,1775977651
B,S_B_668,57.38,37.53,43.86,6.88,1132.45,49.0,28.1,Unstable,Variable Stability,1776078451
A,S_A_091,45.24,26.77,55.55,6.08,134.49,42.91,29.2,Stable,Stable / Optimal,1778155651
C,S_C_416,18.32,21.11,49.33,5.2,-266.17,31.24,52.7,Stable,Stable / Optimal,1776985651
C,S_C_1010,10.5,18.33,41.23,5.17,78.74,61.11,40.9,Unstable,Acidic Trend,1774847251
C,S_C_006,-9.47,10.22,-8.75,6.87,-765.44,69.05,23.3,Unstable,Nitrogen Imbalance (Low),1778461651
C,S_C_072,4.95,-19.31,-25.39,6.3,272.73,63.7,25.6,Unstable,Acidic Trend,1778224051
A,S_A_625,24.04,24.66,65.52,7.1,219.45,61.36,29.1,Unstable,Nitrogen Imbalance (Low),1776233251
A,S_A_070,44.82,26.63,74.98,6.19,148.37,43.73,23.7,Unstable,Stable / Optimal,1778231251
D,S_D_025,29.43,38.38,-27.43,6.37,2497.78,26.29,23.3,Unstable,Nitrogen Imbalance (Low),1778393251
B,S_B_306,58.59,41.6,45.38,5.37,337.31,52.6,26.4,Unstable,Acidic Trend,1777381651
C,S_C_1092,114.56,8.34,-6.25,3.5,683.96,72.26,33.4,Unstable,Acidic Trend,1774552051
E,S_E_338,54.35,-37.57,7.04,5.24,803.73,67.64,20.9,Stable,Acidic Trend,1777266451
D,S_D_1070,50.43,34.64,74.22,6.33,1719.66,69.75,27.8,Unstable,High Salinity Trend,1774631251
A,S_A_765,57.6,17.2,52.3,5.78,457.64,64.06,24.1,Unstable,Nitrogen Imbalance (Low),1775729251
A,S_A_294,35.77,0.09,62.5,6.88,151.25,48.9,23.7,Unstable,Variable Stability,1777424851
D,S_D_753,76.94,38.57,-4.49,5.78,570.41,130.86,33.6,Unstable,Potassium Imbalance (Low),1775772451
A,S_A_446,46.78,31.28,42.13,6.65,388.94,51.84,24.4,Unstable,Nitrogen Imbalance (Low),1776877651
A,S_A_469,47.42,32.64,62.99,5.87,-68.32,37.67,26.8,Unstable,Variable Stability,1776794851
C,S_C_1036,40.85,11.12,-7.78,5.72,-64.63,34.23,33.5,Unstable,Potassium Imbalance (Low),1774753651
B,S_B_020,39.97,30.78,54.39,5.49,906.92,68.86,24.7,Unstable,Acidic Trend,1778411251
A,S_A_433,63.18,26.21,40.93,6.22,577.19,43.95,33.7,Unstable,Variable Stability,1776924451
C,S_C_788,-5.77,12.73,36.39,5.23,788.2,55.33,42.7,Unstable,Acidic Trend,1775646451
B,S_B_289,37.6,35.89,35.73,6.99,482.19,45.67,32.3,Unstable,Potassium Imbalance (Low),1777442851
C,S_C_1148,44.57,-1.16,75.11,3.87,-20.31,56.97,38.4,Unstable,Acidic Trend,1774350451
D,S_D_152,63.15,54.16,135.98,8.5,618.91,76.66,27.6,Unstable,Variable Stability,1777936051
A,S_A_578,29.54,20.47,65.53,7.01,665.95,35.97,28.3,Unstable,Nitrogen Imbalance (Low),1776402451
B,S_B_974,65.47,25.97,73.35,6.1,547.43,57.76,27.1,Unstable,Variable Stability,1774976851
A,S_A_246,59.5,29.04,51.3,6.43,210.13,50.6,26.4,Stable,Stable / Optimal,1777597651
D,S_D_591,71.54,42.73,52.33,7.43,906.87,19.74,41.2,Unstable,Variable Stability,1776355651
A,S_A_368,52.7,18.57,65.97,5.64,-17.41,54.56,33.8,Stable,Stable / Optimal,1777158451
D,S_D_969,11.69,24.59,52.25,6.24,315.08,81.59,25.8,Unstable,Nitrogen Imbalance (Low),1774994851
C,S_C_501,-45.41,55.76,27.51,3.5,311.82,22.76,34.7,Stable,Acidic Trend,1776679651
B,S_B_412,51.78,18.19,60.22,6.25,643.84,38.01,29.4,Unstable,High Salinity Trend,1777000051
C,S_C_446,3.2,8.69,40.87,4.09,144.48,71.76,20.5,Stable,Acidic Trend,1776877651
D,S_D_185,-0.38,23.19,109.08,4.95,1907.82,48.95,26.4,Unstable,Acidic Trend,1777817251
D,S_D_610,12.12,11.12,18.83,5.76,929.01,60.52,21.2,Stable,Nitrogen Imbalance (Low),1776287251
E,S_E_701,90.29,2.62,-30.15,8.5,740.04,56.11,15.2,Unstable,Potassium Imbalance (Low),1775959651
B,S_B_043,46.92,21.1,69.78,6.45,546.39,50.54,26.3,Stable,Stable / Optimal,1778328451
B,S_B_1171,26.41,28.32,55.6,6.59,351.55,24.49,25.0,Unstable,High Salinity Trend,1774267651
D,S_D_670,79.93,36.63,74.97,4.45,626.92,55.11,31.9,Unstable,Acidic Trend,1776071251
D,S_D_873,45.71,15.87,16.69,6.26,328.73,46.84,26.1,Unstable,Variable Stability,1775340451
D,S_D_786,-0.61,10.96,36.93,7.15,-320.65,77.06,15.8,Unstable,Nitrogen Imbalance (Low),1775653651
A,S_A_556,62.55,15.57,109.47,6.63,744.18,56.91,27.7,Stable,Variable Stability,1776481651
B,S_B_964,69.13,27.32,67.44,7.5,324.0,50.51,21.2,Unstable,Variable Stability,1775012851
E,S_E_1169,11.33,21.83,50.08,6.85,-271.67,56.39,28.4,Stable,Nitrogen Imbalance (Low),1774274851
E,S_E_1160,41.05,7.42,102.54,6.32,-440.33,45.31,39.6,Unstable,Phosphorus Imbalance (Low),1774307251
D,S_D_1143,37.77,30.49,174.46,6.53,778.38,95.13,21.4,Unstable,Variable Stability,1774368451
E,S_E_1052,49.12,0.21,121.36,8.45,383.39,49.47,25.7,Unstable,Phosphorus Imbalance (Low),1774696051
D,S_D_676,91.76,32.86,52.25,3.5,1053.38,90.24,16.2,Unstable,Nitrogen Imbalance (Low),1776049651
B,S_B_764,36.17,19.62,22.4,6.14,219.15,47.09,32.2,Unstable,Potassium Imbalance (Low),1775732851
D,S_D_665,49.05,45.69,100.72,7.98,1637.66,93.0,33.9,Unstable,High Salinity Trend,1776089251
C,S_C_890,-14.29,-2.88,44.49,3.5,-50.81,48.31,18.2,Stable,Stable / Optimal,1775279251
E,S_E_785,89.36,23.38,23.04,6.78,2134.85,59.39,36.1,Unstable,Potassium Imbalance (Low),1775657251
A,S_A_152,45.35,32.86,70.78,6.36,144.24,63.18,27.8,Unstable,Nitrogen Imbalance (Low),1777936051
D,S_D_1075,26.32,3.1,113.89,8.5,-170.9,114.84,26.5,Unstable,Nitrogen Imbalance (Low),1774613251
D,S_D_1133,-15.41,15.55,64.98,5.22,-726.03,98.47,25.0,Unstable,Nitrogen Imbalance (Low),1774404451
D,S_D_1159,46.19,30.94,31.07,6.26,534.85,76.03,17.1,Unstable,Potassium Imbalance (Low),1774310851
E,S_E_471,55.46,28.96,67.97,5.6,1805.32,55.07,41.4,Unstable,Phosphorus Imbalance (Low),1776787651
D,S_D_615,72.29,41.41,46.92,6.84,-122.14,72.5,24.0,Unstable,Variable Stability,1776269251
C,S_C_1095,-47.28,-0.73,-8.02,4.44,-215.85,46.54,44.8,Unstable,Acidic Trend,1774541251
E,S_E_1031,12.18,15.62,89.52,6.69,1853.55,96.85,28.7,Unstable,Nitrogen Imbalance (Low),1774771651
D,S_D_093,89.45,-1.11,66.78,6.93,307.65,73.26,50.2,Stable,Phosphorus Imbalance (Low),1778148451
D,S_D_1021,59.91,64.72,-46.95,4.65,426.66,55.46,24.3,Stable,Acidic Trend,1774807651
D,S_D_008,32.03,38.27,40.31,8.5,1828.58,103.44,32.0,Unstable,High Salinity Trend,1778454451
B,S_B_556,64.24,32.32,53.31,7.05,789.54,54.76,28.7,Unstable,Variable Stability,1776481651
E,S_E_474,16.16,8.71,12.89,6.05,490.9,118.9,8.9,Unstable,Nitrogen Imbalance (Low),1776776851
D,S_D_960,16.41,9.71,67.69,3.85,289.66,68.21,15.4,Unstable,Acidic Trend,1775027251
A,S_A_749,38.76,7.57,92.63,6.59,527.96,50.87,26.1,Unstable,Phosphorus Imbalance (Low),1775786851
E,S_E_981,58.73,1.35,32.79,6.79,2031.83,76.7,29.7,Unstable,Potassium Imbalance (Low),1774951651
B,S_B_334,75.72,22.93,25.64,7.34,41.87,69.16,30.5,Unstable,Potassium Imbalance (Low),1777280851
A,S_A_1043,37.14,14.65,68.62,6.4,198.88,39.77,31.1,Unstable,Phosphorus Imbalance (Low),1774728451
E,S_E_692,31.02,15.04,95.47,7.1,1025.11,68.7,30.5,Unstable,High Salinity Trend,1775992051
D,S_D_280,37.63,11.47,46.05,4.49,1476.86,39.64,48.2,Unstable,Acidic Trend,1777475251
C,S_C_264,-35.56,-7.12,3.9,5.77,2084.86,42.67,45.5,Unstable,Phosphorus Imbalance (Low),1777532851
E,S_E_307,50.3,72.26,24.7,4.77,-312.07,65.71,33.3,Stable,Acidic Trend,1777378051
B,S_B_358,54.57,20.21,51.99,6.59,834.64,56.26,26.0,Stable,Stable / Optimal,1777194451
A,S_A_492,62.52,30.3,31.77,6.2,26.4,45.85,26.7,Unstable,Potassium Imbalance (Low),1776712051
D,S_D_774,13.4,55.55,112.57,7.05,1976.87,87.27,19.3,Stable,Nitrogen Imbalance (Low),1775696851
C,S_C_983,70.1,20.09,-7.67,3.5,-372.0,36.19,32.4,Stable,Acidic Trend,1774944451
E,S_E_728,79.69,23.31,23.9,6.24,786.19,57.52,30.6,Unstable,High Salinity Trend,1775862451
A,S_A_472,49.3,24.69,49.29,7.04,-84.29,55.3,33.4,Unstable,Nitrogen Imbalance (Low),1776784051
E,S_E_504,50.2,33.76,105.64,6.45,799.52,86.34,18.8,Unstable,Acidic Trend,1776668851
B,S_B_1113,31.55,15.69,59.55,5.8,1269.36,40.64,28.4,Unstable,Nitrogen Imbalance (Low),1774476451
E,S_E_798,81.05,40.26,-30.08,4.76,1119.23,90.91,29.3,Stable,Phosphorus Imbalance (Low),1775610451
A,S_A_808,14.97,15.45,58.5,6.03,934.61,38.67,28.9,Unstable,Nitrogen Imbalance (Low),1775574451
E,S_E_871,71.46,9.12,23.39,8.4,1026.3,66.11,22.7,Unstable,Potassium Imbalance (Low),1775347651
E,S_E_080,90.58,28.86,37.9,6.5,1930.4,77.08,28.3,Unstable,Potassium Imbalance (Low),1778195251
A,S_A_897,43.09,34.95,68.29,5.39,655.77,54.86,30.8,Stable,Potassium Imbalance (Low),1775254051
E,S_E_572,89.92,8.48,35.52,5.78,1561.34,66.86,13.8,Unstable,Potassium Imbalance (Low),1776424051
C,S_C_104,17.43,-12.55,15.56,3.82,-1518.49,5.41,14.6,Unstable,Acidic Trend,1778108851
E,S_E_884,54.64,1.35,86.08,5.85,660.01,74.32,29.7,Unstable,Variable Stability,1775300851
D,S_D_723,62.85,56.02,116.55,7.87,804.93,85.56,40.9,Unstable,Variable Stability,1775880451
A,S_A_355,47.24,18.84,20.54,6.13,638.19,49.68,24.4,Unstable,High Salinity Trend,1777205251
A,S_A_252,66.44,11.52,59.78,6.32,382.91,41.08,21.6,Stable,Phosphorus Imbalance (Low),1777576051
A,S_A_186,42.44,33.38,35.35,6.07,763.32,36.78,30.6,Unstable,Variable Stability,1777813651
B,S_B_1179,46.08,18.12,79.94,5.73,979.89,63.46,27.9,Unstable,Acidic Trend,1774238851
A,S_A_1184,11.83,26.14,57.36,6.49,921.54,40.94,23.3,Stable,Nitrogen Imbalance (Low),1774220851
B,S_B_911,71.03,16.21,12.13,7.34,451.71,36.08,26.1,Unstable,Nitrogen Imbalance (Low),1775203651
D,S_D_675,53.93,29.06,176.32,6.56,341.87,90.94,43.4,Stable,Variable Stability,1776053251
A,S_A_228,25.57,39.88,91.23,6.15,244.8,43.5,27.0,Stable,Stable / Optimal,1777662451
B,S_B_954,46.59,18.48,49.7,7.32,690.04,58.81,26.4,Unstable,Variable Stability,1775048851
E,S_E_968,35.38,26.55,8.09,7.4,1862.5,43.07,24.6,Unstable,Potassium Imbalance (Low),1774998451
B,S_B_096,73.84,13.89,20.9,7.03,702.44,28.26,26.0,Unstable,Acidic Trend,1778137651
E,S_E_1132,29.29,16.4,39.73,6.38,240.49,68.95,27.9,Stable,Variable Stability,1774408051
E,S_E_052,59.38,9.65,-14.49,7.33,-691.3,61.98,22.5,Unstable,Potassium Imbalance (Low),1778296051
D,S_D_339,109.48,24.02,-27.71,5.99,738.62,73.99,35.4,Stable,Potassium Imbalance (Low),1777262851
E,S_E_661,31.17,22.59,-0.78,6.48,1204.88,35.86,27.2,Stable,Potassium Imbalance (Low),1776103651
C,S_C_403,59.57,-22.57,67.6,5.04,196.39,19.53,15.8,Unstable,Acidic Trend,1777032451
C,S_C_785,70.64,19.13,78.78,7.14,199.91,-18.26,39.0,Unstable,Variable Stability,1775657251
B,S_B_706,52.46,23.48,53.25,6.18,215.63,40.58,27.8,Unstable,Stable / Optimal,1775941651
E,S_E_237,46.94,40.53,87.41,4.81,1149.72,107.45,31.0,Unstable,Nitrogen Imbalance (Low),1777630051
B,S_B_1024,0.67,13.88,58.51,6.31,1012.69,45.33,31.2,Unstable,Nitrogen Imbalance (Low),1774796851
D,S_D_239,5.53,37.2,116.87,6.94,1631.09,59.67,35.3,Unstable,Nitrogen Imbalance (Low),1777622851
C,S_C_782,-36.86,-9.62,18.95,4.66,-716.72,-13.24,16.1,Stable,Acidic Trend,1775668051
A,S_A_293,32.94,25.55,56.51,6.6,512.93,51.96,18.1,Stable,Stable / Optimal,1777428451
C,S_C_322,41.5,16.67,-28.32,4.84,-1082.17,-3.13,45.2,Unstable,Acidic Trend,1777324051
A,S_A_550,47.33,22.28,83.79,6.23,749.48,65.46,34.5,Stable,Stable / Optimal,1776503251
D,S_D_655,35.8,12.19,58.28,4.6,-17.83,99.16,24.7,Unstable,Acidic Trend,1776125251
E,S_E_730,16.48,16.44,-23.47,4.25,1229.22,81.05,33.1,Unstable,Acidic Trend,1775855251
B,S_B_370,45.67,29.18,59.36,7.06,467.12,28.76,34.1,Unstable,High Salinity Trend,1777151251
A,S_A_1076,58.08,36.6,77.34,6.0,286.61,42.12,27.9,Unstable,Variable Stability,1774609651
D,S_D_841,2.66,6.59,83.16,6.13,184.08,97.39,48.4,Unstable,Phosphorus Imbalance (Low),1775455651
C,S_C_048,-5.51,2.06,-8.66,4.65,1761.72,-17.85,27.6,Unstable,Acidic Trend,1778310451
B,S_B_123,33.08,25.32,42.59,6.66,504.44,30.56,29.9,Stable,Stable / Optimal,1778040451
E,S_E_260,77.8,25.54,66.25,5.25,1383.37,135.58,3.2,Unstable,Acidic Trend,1777547251
C,S_C_569,-21.64,18.0,-49.67,3.56,100.27,0.96,55.2,Unstable,Phosphorus Imbalance (Low),1776434851
C,S_C_810,-18.5,-0.51,-12.61,7.53,1264.88,30.46,42.0,Unstable,Nitrogen Imbalance (Low),1775567251
C,S_C_271,34.37,23.33,43.37,4.62,1468.58,12.9,23.1,Unstable,Acidic Trend,1777507651
C,S_C_021,37.09,14.74,79.18,3.5,731.22,-5.29,11.7,Unstable,Acidic Trend,1778407651
D,S_D_135,2.14,53.08,126.45,5.06,680.26,78.26,33.6,Unstable,Acidic Trend,1777997251
E,S_E_310,38.35,37.76,64.38,5.63,641.4,66.06,34.0,Unstable,Variable Stability,1777367251
C,S_C_654,-65.43,-19.78,9.17,5.92,321.2,28.19,29.9,Unstable,Nitrogen Imbalance (Low),1776128851
C,S_C_435,10.78,3.51,4.61,5.02,886.17,33.77,20.0,Unstable,Acidic Trend,1776917251
D,S_D_118,37.46,26.98,82.46,5.81,757.77,65.07,18.2,Unstable,Acidic Trend,1778058451
C,S_C_938,29.7,32.32,-36.57,3.5,424.76,13.89,37.3,Unstable,Potassium Imbalance (Low),1775106451
C,S_C_797,29.38,-15.25,14.94,4.55,761.64,25.33,18.1,Unstable,Acidic Trend,1775614051
E,S_E_067,46.24,48.9,10.29,7.58,-156.75,48.81,21.8,Unstable,High Salinity Trend,1778242051
D,S_D_141,-8.72,-0.27,20.68,8.5,860.06,44.21,14.3,Unstable,Nitrogen Imbalance (Low),1777975651
E,S_E_087,79.4,48.64,82.75,6.11,721.66,41.7,16.2,Unstable,Phosphorus Imbalance (Low),1778170051
E,S_E_1001,73.24,36.22,72.08,7.5,2841.21,90.8,39.4,Stable,Variable Stability,1774879651
A,S_A_1143,49.91,19.21,41.09,6.88,648.44,51.53,26.5,Stable,Stable / Optimal,1774368451
D,S_D_1044,96.47,25.46,45.73,4.97,-394.27,103.45,26.3,Unstable,Nitrogen Imbalance (Low),1774724851
A,S_A_933,50.3,36.07,53.07,6.28,788.02,47.99,26.3,Stable,Variable Stability,1775124451
A,S_A_614,35.82,23.51,51.91,5.67,247.94,67.97,22.2,Stable,Stable / Optimal,1776272851
B,S_B_1028,35.37,16.94,68.72,7.01,1062.05,51.07,27.3,Unstable,Acidic Trend,1774782451
D,S_D_1139,5.12,45.66,70.4,6.45,603.28,9.0,24.1,Unstable,Nitrogen Imbalance (Low),1774382851
C,S_C_841,18.26,38.49,-24.86,5.89,989.43,36.38,31.5,Unstable,Nitrogen Imbalance (Low),1775455651
C,S_C_1070,11.56,16.04,-25.62,3.84,1499.54,14.97,23.9,Unstable,Phosphorus Imbalance (Low),1774631251
E,S_E_251,54.94,-5.34,131.83,7.34,1785.1,48.62,27.8,Unstable,Phosphorus Imbalance (Low),1777579651
D,S_D_1092,71.48,38.36,107.63,7.52,-33.7,63.21,30.4,Unstable,Variable Stability,1774552051
D,S_D_216,113.92,6.64,-62.41,5.63,639.78,52.01,26.1,Unstable,Potassium Imbalance (Low),1777705651
D,S_D_502,90.71,38.88,49.25,6.64,1869.73,129.44,28.2,Unstable,High Salinity Trend,1776676051
E,S_E_608,51.91,84.78,96.64,4.42,889.69,55.4,20.7,Unstable,Acidic Trend,1776294451
A,S_A_506,55.62,29.94,70.82,7.02,991.43,56.69,21.5,Unstable,Variable Stability,1776661651
B,S_B_310,66.12,28.2,35.22,7.52,1176.01,48.22,29.8,Unstable,Potassium Imbalance (Low),1777367251
B,S_B_467,59.6,16.48,75.79,5.66,378.31,35.12,26.3,Stable,Stable / Optimal,1776802051
A,S_A_273,53.16,21.67,59.21,6.86,903.91,48.86,31.0,Stable,Stable / Optimal,1777500451
B,S_B_916,18.88,24.53,76.51,7.33,589.65,58.17,29.7,Unstable,Variable Stability,1775185651
E,S_E_365,70.73,17.73,76.72,8.49,1575.35,103.44,31.8,Unstable,High Salinity Trend,1777169251
D,S_D_906,76.63,43.72,125.07,4.68,-75.28,111.83,44.3,Unstable,Acidic Trend,1775221651
B,S_B_286,38.68,31.46,57.47,6.18,708.78,68.82,32.6,Unstable,Variable Stability,1777453651
D,S_D_702,63.67,11.83,-0.09,6.25,281.72,125.16,37.1,Unstable,Potassium Imbalance (Low),1775956051
A,S_A_702,50.39,27.07,50.18,6.47,846.98,37.71,32.0,Stable,Stable / Optimal,1775956051
D,S_D_234,48.24,31.64,44.75,5.11,1054.49,114.77,8.0,Unstable,Variable Stability,1777640851
C,S_C_1190,-2.21,-7.52,11.3,3.98,-455.6,44.43,25.4,Unstable,Acidic Trend,1774199251
A,S_A_107,65.78,33.7,52.98,6.69,724.16,45.58,17.3,Unstable,Variable Stability,1778098051
E,S_E_248,61.07,16.65,70.06,7.52,910.19,80.63,9.0,Unstable,Variable Stability,1777590451
E,S_E_201,76.49,5.55,73.77,6.54,1217.2,95.65,32.3,Stable,Stable / Optimal,1777759651
E,S_E_518,81.73,28.09,97.87,5.77,693.02,60.7,42.0,Unstable,Variable Stability,1776618451
D,S_D_1168,67.66,54.71,-6.74,6.72,1769.95,93.81,18.6,Unstable,Variable Stability,1774278451
E,S_E_442,11.94,61.09,98.71,6.53,2017.53,35.85,19.8,Unstable,Potassium Imbalance (Low),1776892051
D,S_D_250,31.84,30.64,134.15,6.86,1561.19,57.3,40.0,Stable,Stable / Optimal,1777583251
A,S_A_953,46.36,33.96,87.53,6.84,436.13,56.89,19.6,Unstable,Variable Stability,1775052451
B,S_B_1165,48.72,26.94,78.09,6.9,665.75,59.74,37.9,Stable,Nitrogen Imbalance (Low),1774289251
D,S_D_296,78.03,41.44,49.01,5.65,2394.52,65.39,40.9,Unstable,High Salinity Trend,1777417651
D,S_D_240,41.34,23.83,119.77,5.26,-69.05,115.49,46.1,Stable,Acidic Trend,1777619251
C,S_C_251,13.79,-11.09,-8.69,4.45,92.83,64.32,28.5,Unstable,Acidic Trend,1777579651
C,S_C_827,20.73,55.9,40.28,3.5,-374.87,36.46,39.3,Stable,Nitrogen Imbalance (Low),1775506051
E,S_E_131,-22.22,14.14,90.19,5.36,981.19,96.68,19.8,Unstable,Acidic Trend,1778011651
C,S_C_511,67.31,22.39,7.74,5.97,-285.77,29.55,37.6,Unstable,Potassium Imbalance (Low),1776643651
A,S_A_1085,55.81,22.2,67.32,6.19,315.1,43.78,25.5,Stable,Stable / Optimal,1774577251
